v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
6.219999999999994e+00	6.220000e+00	3.626988e-01	4.715085e+00	3.626988e-01	-6.220000e-17	6.220000e-19	3.626988e-20	-3.626988e-05	-3.626988e-05	-3.608225e-20	-2.073993e-04	7.097145e-12	-3.954923e-08	-3.623033e-05	2.073993e-04	-2.151011e-04
6.319999999999994e+00	6.320000e+00	3.703905e-01	4.815077e+00	3.703905e-01	-6.320000e-17	6.320000e-19	3.703905e-20	-3.703905e-05	-3.703905e-05	-3.719247e-20	-2.107009e-04	7.197166e-12	-3.953913e-08	-3.699951e-05	2.107008e-04	-2.183979e-04
6.419999999999994e+00	6.420000e+00	3.780822e-01	4.915069e+00	3.780822e-01	-6.420000e-17	6.420000e-19	3.780823e-20	-3.780823e-05	-3.780823e-05	-3.774758e-20	-2.140024e-04	7.297187e-12	-3.952903e-08	-3.776869e-05	2.140024e-04	-2.216946e-04
6.519999999999993e+00	6.520000e+00	3.857740e-01	5.015062e+00	3.857740e-01	-6.520000e-17	6.520000e-19	3.857740e-20	-3.857740e-05	-3.857740e-05	-3.830270e-20	-2.173040e-04	7.397209e-12	-3.951894e-08	-3.853787e-05	2.173040e-04	-2.249914e-04
6.619999999999993e+00	6.620000e+00	3.934657e-01	5.115054e+00	3.934657e-01	-6.620000e-17	6.620000e-19	3.934657e-20	-3.934657e-05	-3.934657e-05	-3.941292e-20	-2.206055e-04	7.497229e-12	-3.950884e-08	-3.930705e-05	2.206055e-04	-2.282881e-04
6.719999999999993e+00	6.720000e+00	4.011574e-01	5.215046e+00	4.011574e-01	-6.720000e-17	6.720000e-19	4.011574e-20	-4.011574e-05	-4.011574e-05	-3.996803e-20	-2.239071e-04	7.597251e-12	-3.949875e-08	-4.007623e-05	2.239071e-04	-2.315849e-04
6.819999999999992e+00	6.820000e+00	4.088491e-01	5.315039e+00	4.088491e-01	-6.820000e-17	6.820000e-19	4.088491e-20	-4.088491e-05	-4.088491e-05	-4.107825e-20	-2.272087e-04	7.697272e-12	-3.948865e-08	-4.084541e-05	2.272087e-04	-2.348816e-04
6.919999999999992e+00	6.920000e+00	4.165409e-01	5.415031e+00	4.165409e-01	-6.920000e-17	6.920000e-19	4.165409e-20	-4.165409e-05	-4.165409e-05	-4.163336e-20	-2.305102e-04	7.797293e-12	-3.947855e-08	-4.161459e-05	2.305102e-04	-2.381783e-04
7.019999999999992e+00	7.020000e+00	4.242326e-01	5.515023e+00	4.242326e-01	-7.020000e-17	7.020000e-19	4.242326e-20	-4.242326e-05	-4.242326e-05	-4.218848e-20	-2.338118e-04	7.897314e-12	-3.946846e-08	-4.238377e-05	2.338118e-04	-2.414751e-04
7.119999999999991e+00	7.120000e+00	4.319243e-01	5.615016e+00	4.319243e-01	-7.120000e-17	7.120000e-19	4.319243e-20	-4.319243e-05	-4.319243e-05	-4.329870e-20	-2.371133e-04	7.997335e-12	-3.945836e-08	-4.315296e-05	2.371133e-04	-2.447718e-04
