v_supply	V(v_batteries)	V(vout_batt)	V(n001)	V(n002)	I(C1)	I(C2)	I(C_adc)	I(R1)	I(R2)	I(R_adc)	I(V1)	Ix(U1:In+)	Ix(U1:In-)	Ix(U1:OUT)	Ix(U1:V+)	Ix(U1:V-)
3.600000000000002e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e-05	-8.852560e-05
3.700000000000002e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.000000e-05	-9.015131e-05
3.800000000000002e+00	3.800000e+00	2.917684e-01	3.792989e+00	2.917684e-01	-3.800000e-17	3.800000e-19	2.917684e-20	-2.917684e-05	-2.917684e-05	-2.942091e-20	-4.965137e-04	8.617269e-12	8.583009e-12	-2.917685e-05	4.965137e-04	-4.674127e-04
3.900000000000002e+00	3.900000e+00	2.994679e-01	3.893082e+00	2.994679e-01	-3.900000e-17	3.900000e-19	2.994678e-20	-2.994679e-05	-2.994679e-05	-2.997602e-20	-4.985579e-04	8.817308e-12	8.783438e-12	-2.994679e-05	4.985579e-04	-4.686865e-04
4.000000000000002e+00	4.000000e+00	3.071671e-01	3.993171e+00	3.071671e-01	-4.000000e-17	4.000000e-19	3.071671e-20	-3.071670e-05	-3.071670e-05	-3.053113e-20	-5.006031e-04	9.017347e-12	8.983848e-12	-3.071671e-05	5.006030e-04	-4.699611e-04
4.100000000000001e+00	4.100000e+00	3.148660e-01	4.093257e+00	3.148660e-01	-4.100000e-17	4.100000e-19	3.148660e-20	-3.148660e-05	-3.148660e-05	-3.164135e-20	-5.026491e-04	9.217386e-12	9.184241e-12	-3.148661e-05	5.026491e-04	-4.712368e-04
4.200000000000001e+00	4.200000e+00	3.225646e-01	4.193340e+00	3.225646e-01	-4.200000e-17	4.200000e-19	3.225646e-20	-3.225646e-05	-3.225646e-05	-3.219647e-20	-5.046961e-04	9.417423e-12	9.384622e-12	-3.225647e-05	5.046961e-04	-4.725135e-04
4.300000000000001e+00	4.300000e+00	3.302631e-01	4.293420e+00	3.302631e-01	-4.300000e-17	4.300000e-19	3.302631e-20	-3.302631e-05	-3.302631e-05	-3.275158e-20	-5.067440e-04	9.617462e-12	9.584988e-12	-3.302632e-05	5.067440e-04	-4.737910e-04
4.400000000000000e+00	4.400000e+00	3.379613e-01	4.393497e+00	3.379613e-01	-4.400000e-17	4.400000e-19	3.379613e-20	-3.379613e-05	-3.379613e-05	-3.386180e-20	-5.087930e-04	9.817501e-12	9.785346e-12	-3.379614e-05	5.087930e-04	-4.750697e-04
4.500000000000000e+00	4.500000e+00	3.456593e-01	4.493571e+00	3.456593e-01	-4.500000e-17	4.500000e-19	3.456593e-20	-3.456593e-05	-3.456593e-05	-3.441691e-20	-5.108428e-04	1.001754e-11	9.985685e-12	-3.456594e-05	5.108428e-04	-4.763493e-04
4.600000000000000e+00	4.600000e+00	3.533571e-01	4.593642e+00	3.533571e-01	-4.600000e-17	4.600000e-19	3.533571e-20	-3.533571e-05	-3.533571e-05	-3.552714e-20	-5.128937e-04	1.021758e-11	1.018601e-11	-3.533572e-05	5.128937e-04	-4.776298e-04
4.699999999999999e+00	4.700000e+00	3.610547e-01	4.693711e+00	3.610547e-01	-4.700000e-17	4.700000e-19	3.610547e-20	-3.610547e-05	-3.610547e-05	-3.608225e-20	-5.149455e-04	1.041762e-11	1.038633e-11	-3.610548e-05	5.149455e-04	-4.789113e-04
4.799999999999999e+00	4.800000e+00	3.687522e-01	4.793778e+00	3.687522e-01	-4.800000e-17	4.800000e-19	3.687521e-20	-3.687522e-05	-3.687522e-05	-3.663736e-20	-5.169982e-04	1.061766e-11	1.058664e-11	-3.687523e-05	5.169982e-04	-4.801938e-04
4.899999999999999e+00	4.900000e+00	3.764494e-01	4.893842e+00	3.764494e-01	-4.900000e-17	4.900000e-19	3.764494e-20	-3.764494e-05	-3.764494e-05	-3.774758e-20	-5.190519e-04	1.081769e-11	1.078694e-11	-3.764495e-05	5.190518e-04	-4.814772e-04
4.999999999999998e+00	5.000000e+00	3.841465e-01	4.993905e+00	3.841465e-01	-5.000000e-17	5.000000e-19	3.841465e-20	-3.841465e-05	-3.841465e-05	-3.830270e-20	-5.211066e-04	1.101773e-11	1.098722e-11	-3.841466e-05	5.211066e-04	-4.827618e-04
